Timestamp,Elapsed,Cathode_V,Cathode_I,Anode_V,Anode_I,Grid_V,Grid_I
16:20:59,5.93,0.0,0.0,0.0,0.0,0.0,0.0
16:21:00,6.78,0.0,0.0,0.0,0.0,0.0,0.0
16:21:01,7.47,0.0,0.0,0.0,0.0,0.0,0.0
16:21:01,8.15,0.0,0.0,0.0,0.0,0.0,0.0
16:21:02,8.86,0.0,0.0,0.0,0.0,0.0,0.0
16:21:03,9.55,0.0,0.0,0.0,0.0,0.0,0.0
16:21:03,10.24,0.0,0.0,0.0,0.0,0.0,0.0
16:21:04,10.93,0.0,0.0,0.0,0.0,0.0,0.0
16:21:05,11.62,0.0,0.0,0.0,0.0,0.0,0.0
16:21:05,12.31,0.0,0.0,0.0,0.0,0.0,0.0
16:21:06,13.01,0.0,0.0,2.0,0.0,1.0,0.0
16:21:07,13.69,0.0,0.0,2.0,0.0,1.0,0.0
16:21:08,14.38,0.0,0.0,2.0,0.0,1.0,0.0
16:21:08,15.06,0.0,0.0,2.0,0.0,1.0,0.0
16:21:09,15.74,0.0,0.0,2.0,0.0,1.0,0.0
16:21:10,16.43,0.0,0.0,2.0,0.0,1.0,0.0
16:21:10,17.11,0.0,0.0,2.0,0.0,1.0,0.0
16:21:11,17.8,0.0,0.0,2.0,0.0,1.0,0.0
16:21:12,18.49,0.0,0.0,2.0,0.0,1.0,0.0
16:21:12,19.17,0.0,0.0,2.0,0.0,1.0,0.0
16:21:13,19.85,0.0,0.0,2.0,0.0,1.0,0.0
16:21:14,20.54,0.0,0.0,2.0,0.0,1.0,0.0
16:21:14,21.23,0.0,0.0,2.0,0.0,1.0,0.0
16:21:15,21.95,0.0,0.0,2.0,0.0,1.0,0.0
16:21:16,22.63,0.0,0.0,2.0,0.0,1.0,0.0
16:21:17,23.34,0.0,0.0,2.0,0.0,1.0,0.0
16:21:17,24.03,0.0,0.0,2.0,0.0,1.0,0.0
16:21:18,24.71,0.0,0.0,2.0,0.0,1.0,0.0
16:21:19,25.4,0.0,0.0,2.0,0.0,1.0,0.0
16:21:19,26.08,0.0,0.0,2.0,0.0,1.0,0.0
16:21:20,26.76,0.0,0.0,2.0,0.0,1.0,0.0
16:21:21,27.45,0.0,0.0,2.0,0.0,1.0,0.0
16:21:21,28.16,0.0,0.0,2.0,0.0,1.0,0.0
16:21:22,28.88,0.0,0.0,2.0,0.0,1.0,0.0
16:21:23,29.59,0.0,0.0,2.0,0.0,1.0,0.0
16:21:23,30.28,0.0,0.0,2.0,0.0,1.0,0.0
16:21:24,31.0,0.0,0.0,2.0,0.0,1.0,0.0
16:21:25,31.69,0.0,0.0,2.0,0.0,1.0,0.0
16:21:26,32.42,0.0,0.0,2.0,0.0,1.0,0.0
16:21:26,33.11,0.0,0.0,2.0,0.0,1.0,0.0
16:21:27,33.8,0.0,0.0,2.0,0.0,1.0,0.0
16:21:42,48.85,16.0,0.0,21.0,0.0,19.0,0.0
16:21:43,49.6,15.0,0.0,19.0,0.0,18.0,0.0
16:21:43,50.29,14.0,0.0,18.0,0.0,17.0,0.0
16:21:44,50.99,13.0,0.0,17.0,0.0,15.0,0.0
16:21:45,51.69,12.0,0.0,15.0,0.0,14.0,0.0
16:21:46,52.39,10.0,0.0,14.0,0.0,13.0,0.0
16:21:46,53.08,9.0,0.0,13.0,0.0,12.0,0.0
16:21:47,53.76,9.0,0.0,12.0,0.0,11.0,0.0
16:21:48,54.45,8.0,0.0,11.0,0.0,10.0,0.0
